300.0,-0.039
305.0,-0.031
310.0,-0.023
315.0,-0.027
320.0,-0.023
325.0,-0.019
330.0,-0.015
335.0,-0.012
340.0,-0.009
345.0,-0.006
350.0,-0.01
355.0,0.006
360.0,0.005
365.0,0.027
370.0,0.028
375.0,0.053
380.0,0.061
385.0,0.073
390.0,0.094
395.0,0.121
400.0,0.142
405.0,0.185
410.0,0.216
415.0,0.267
420.0,0.324
425.0,0.38
430.0,0.484
435.0,0.629
440.0,0.823
445.0,1.211
450.0,1.864
455.0,2.959
460.0,4.855
465.0,7.803
470.0,11.64
475.0,17.012
480.0,23.509
485.0,30.78
490.0,38.875
495.0,47.593
500.0,55.782
505.0,61.27
510.0,63.961
515.0,63.998
520.0,62.584
525.0,61.208
530.0,60.961
535.0,62.069
540.0,64.158
545.0,67.377
550.0,71.531
555.0,75.86
560.0,79.71
565.0,83.153
570.0,85.065
575.0,85.385
580.0,84.019
585.0,82.72
590.0,79.552
595.0,76.387
600.0,73.346
605.0,70.67
610.0,68.386
615.0,66.977
620.0,65.835
625.0,65.66
630.0,66.33
635.0,67.12
640.0,68.299
645.0,70.3
650.0,72.578
655.0,75.218
660.0,77.67
665.0,79.144
670.0,81.265
675.0,83.158
680.0,85.443
685.0,86.552
690.0,87.485
695.0,87.205
700.0,86.514
705.0,85.821
710.0,84.653
715.0,82.671
720.0,80.649
725.0,79.068
730.0,77.363
735.0,75.452
740.0,73.289
745.0,71.244
750.0,70.025
755.0,68.875
760.0,67.634
765.0,66.921
770.0,66.369
775.0,66.119
780.0,65.625
785.0,65.567
790.0,65.611
795.0,65.867
800.0,66.808
805.0,67.525
810.0,68.823
815.0,69.418
820.0,70.319
825.0,71.35
830.0,73.17
835.0,74.419
840.0,75.845
845.0,77.352
850.0,77.127
